Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
43,No,Travel_Rarely,1221,Sales,6,2,Medical,1,309,4,Male,53,4,2,Sales Executive,4,Single,5276,13522,2,Y,Yes,22,3,3,80,0,23,3,2,9,9,9,9
22,No,Travel_Rarely,438,Research & Development,17,2,Life Sciences,1,310,4,Male,82,2,1,Research Scientist,3,Married,3413,6475,5,Y,No,24,4,4,80,1,25,5,4,22,3,4,2
30,No,Travel_Rarely,1101,Research & Development,1,3,Medical,1,311,2,Male,62,3,3,Manufacturing Director,2,Married,9003,22745,0,Y,No,23,3,3,80,3,9,0,4,8,8,8,8
38,No,Travel_Rarely,131,Research & Development,1,3,Medical,1,312,2,Male,88,3,2,Research Scientist,3,Married,4900,4652,2,Y,No,22,3,4,80,1,13,2,4,3,3,3,0
40,No,Travel_Frequently,829,Sales,3,5,Life Sciences,1,313,3,Male,78,4,4,Manager,3,Single,12504,14244,2,Y,No,11,3,3,80,0,24,2,4,11,11,11,11
28,Yes,Travel_Rarely,1235,Research & Development,11,4,Medical,1,314,4,Female,42,4,3,Manufacturing Director,1,Married,6299,24085,5,Y,Yes,18,3,3,80,2,14,3,1,0,0,0,0
25,No,Travel_Rarely,1418,Sales,16,4,Life Sciences,1,315,4,Female,76,3,3,Sales Executive,2,Divorced,7459,22191,4,Y,No,14,4,2,80,0,17,4,3,1,1,1,1
30,Yes,Travel_Frequently,342,Research & Development,24,3,Marketing,1,316,1,Female,38,3,5,Research Director,3,Married,18804,6689,0,Y,Yes,11,3,2,80,1,11,4,3,0,0,0,0
29,No,Travel_Frequently,459,Research & Development,26,3,Medical,1,317,4,Male,81,3,4,Research Director,2,Married,14303,6801,0,Y,No,16,3,3,80,1,4,0,3,4,4,4,4
44,No,Travel_Rarely,787,Research & Development,21,4,Life Sciences,1,318,2,Male,99,2,2,Manufacturing Director,2,Married,5460,15764,6,Y,No,23,3,4,80,1,10,3,4,9,7,7,9
33,No,Travel_Rarely,1244,Sales,6,3,Other,1,319,3,Male,59,3,1,Sales Representative,4,Married,2732,18661,0,Y,No,12,3,3,80,1,5,2,3,2,2,2,2
42,No,Travel_Rarely,417,Research & Development,5,2,Medical,1,320,4,Male,41,3,4,Manufacturing Director,3,Single,10874,8095,0,Y,No,17,3,4,80,0,7,4,4,3,0,3,1
28,No,Travel_Frequently,1128,Research & Development,1,3,Medical,1,321,3,Male,51,3,2,Healthcare Representative,4,Married,4750,14893,2,Y,Yes,22,3,3,80,1,16,2,3,9,9,9,3
41,Yes,Travel_Rarely,1300,Sales,8,3,Life Sciences,1,322,4,Male,38,4,1,Sales Representative,3,Married,1611,16862,0,Y,Yes,24,3,2,80,0,8,4,4,3,3,3,3
38,No,Travel_Frequently,782,Research & Development,13,4,Life Sciences,1,323,4,Female,83,3,2,Laboratory Technician,4,Single,3745,9689,1,Y,No,13,3,1,80,0,19,2,4,6,6,6,6
60,No,Travel_Rarely,536,Research & Development,23,4,Life Sciences,1,324,4,Female,76,4,3,Manufacturing Director,4,Divorced,7871,19096,0,Y,No,11,3,3,80,0,20,3,4,3,3,1,3
19,No,Travel_Frequently,1281,Research & Development,20,3,Life Sciences,1,325,3,Male,38,3,2,Manufacturing Director,2,Married,5007,2912,8,Y,No,17,4,2,80,0,14,4,4,0,0,0,0
48,No,Travel_Rarely,530,Research & Development,22,3,Life Sciences,1,326,1,Male,67,3,5,Research Director,4,Single,16296,2580,3,Y,No,13,3,3,80,0,17,3,1,12,1,1,5
35,Yes,Travel_Rarely,1360,Sales,28,2,Other,1,327,3,Male,30,3,5,Manager,2,Single,16369,16937,3,Y,No,13,3,1,80,0,3,4,3,1,1,1,1
41,Yes,Travel_Frequently,434,Research & Development,18,3,Life Sciences,1,328,3,Female,73,3,2,Research Scientist,3,Single,5909,4852,0,Y,Yes,21,3,4,80,1,9,2,4,2,2,2,2
39,Yes,Travel_Rarely,213,Research & Development,14,2,Life Sciences,1,329,4,Female,65,3,1,Laboratory Technician,3,Married,2910,26762,7,Y,Yes,24,3,2,80,0,6,2,4,1,1,1,1
40,No,Travel_Rarely,1334,Research & Development,11,3,Medical,1,330,4,Male,53,3,4,Manager,4,Married,12854,23770,2,Y,No,14,3,4,80,1,17,3,3,16,8,9,15
31,No,Travel_Rarely,185,Research & Development,25,3,Medical,1,331,3,Male,88,3,2,Research Scientist,4,Single,4747,25889,2,Y,Yes,14,3,3,80,1,23,4,4,12,12,0,4
18,No,Travel_Rarely,1178,Research & Development,13,2,Medical,1,332,3,Male,61,4,2,Research Scientist,2,Married,4394,7387,3,Y,No,12,3,4,80,1,9,3,4,2,2,2,2
35,No,Travel_Rarely,1301,Research & Development,4,4,Medical,1,333,3,Male,58,2,1,Laboratory Technician,4,Single,3499,10390,2,Y,No,18,3,1,80,0,19,2,4,1,1,1,1
39,No,Travel_Rarely,983,Sales,12,3,Medical,1,334,4,Female,98,4,3,Sales Executive,3,Divorced,6976,20099,0,Y,Yes,18,3,1,80,2,9,3,4,5,5,5,5
39,No,Non-Travel,773,Sales,10,2,Medical,1,335,3,Female,82,3,3,Sales Executive,4,Divorced,8368,18178,2,Y,Yes,23,3,4,80,0,23,2,3,8,4,8,0
26,No,Travel_Rarely,1317,Research & Development,24,3,Life Sciences,1,336,3,Male,31,4,1,Laboratory Technician,3,Married,2994,12525,1,Y,No,18,3,2,80,2,2,2,2,1,1,1,0
37,No,Travel_Rarely,382,Research & Development,6,1,Life Sciences,1,337,3,Male,84,4,2,Manufacturing Director,3,Divorced,4544,9605,5,Y,No,25,3,1,80,2,13,5,3,6,6,4,6
40,Yes,Travel_Rarely,217,Research & Development,25,3,Medical,1,338,4,Male,70,3,1,Laboratory Technician,1,Divorced,2420,22578,2,Y,Yes,17,3,2,80,0,24,1,3,5,2,5,2
51,Yes,Travel_Rarely,1139,Research & Development,22,2,Life Sciences,1,339,4,Male,52,2,1,Laboratory Technician,2,Divorced,3389,21129,2,Y,Yes,23,3,3,80,0,29,3,3,13,0,1,7
50,No,Travel_Rarely,239,Sales,16,3,Other,1,340,3,Male,54,3,1,Sales Representative,1,Single,2861,10566,2,Y,No,17,3,1,80,0,13,5,3,8,8,7,7
47,No,Non-Travel,468,Research & Development,24,3,Marketing,1,341,4,Female,84,3,1,Laboratory Technician,2,Single,3323,7994,0,Y,No,11,3,4,80,1,26,1,3,14,4,10,3
48,No,Travel_Rarely,1481,Research & Development,23,3,Life Sciences,1,342,3,Female,33,3,2,Research Scientist,3,Single,3658,20427,4,Y,No,19,3,4,80,2,15,3,3,15,15,14,15
35,No,Travel_Frequently,936,Sales,21,2,Other,1,343,4,Male,81,3,1,Sales Representative,2,Divorced,3084,13322,3,Y,Yes,21,3,4,80,0,5,2,2,3,3,3,1
46,No,Travel_Rarely,1439,Sales,14,2,Life Sciences,1,344,2,Female,88,3,3,Sales Executive,4,Single,6626,5111,7,Y,No,16,3,2,80,3,30,5,3,16,6,1,4
28,Yes,Travel_Rarely,654,Research & Development,24,3,Life Sciences,1,345,4,Male,85,2,5,Research Director,4,Divorced,18414,10387,1,Y,Yes,16,4,2,80,0,7,3,3,5,5,5,1
28,No,Travel_Frequently,701,Sales,16,4,Medical,1,346,3,Male,85,3,2,Sales Representative,4,Married,3856,2496,3,Y,No,16,3,3,80,0,17,4,4,2,2,2,2
40,No,Travel_Frequently,1482,Research & Development,26,3,Life Sciences,1,347,4,Male,96,3,2,Manufacturing Director,2,Married,4429,26704,3,Y,No,14,3,2,80,1,28,5,3,9,3,9,4
36,No,Travel_Rarely,818,Research & Development,21,3,Medical,1,348,4,Female,58,1,1,Laboratory Technician,2,Divorced,2838,3645,0,Y,No,21,3,4,80,3,29,0,3,21,15,1,12
55,Yes,Travel_Frequently,200,Research & Development,27,3,Medical,1,349,2,Male,77,3,2,Research Scientist,2,Married,5096,18312,5,Y,Yes,14,3,2,80,0,26,3,2,7,3,7,3
25,No,Travel_Rarely,1494,Research & Development,5,2,Medical,1,350,2,Male,76,3,2,Healthcare Representative,2,Married,3905,19519,4,Y,No,15,3,2,80,2,9,6,2,9,6,0,6
41,No,Travel_Frequently,371,Research & Development,12,1,Medical,1,351,2,Female,85,3,1,Laboratory Technician,4,Married,2918,9930,0,Y,No,16,3,2,80,2,14,4,3,6,0,5,6
33,No,Travel_Rarely,394,Research & Development,10,2,Technical Degree,1,352,4,Male,42,3,1,Laboratory Technician,4,Divorced,3479,13403,3,Y,No,11,3,3,80,2,4,1,4,1,1,1,1
47,No,Travel_Rarely,400,Sales,5,3,Other,1,353,4,Male,79,3,5,Manager,4,Divorced,17468,23934,2,Y,Yes,20,3,4,80,0,7,5,4,5,5,5,5
31,Yes,Travel_Rarely,937,Research & Development,1,4,Medical,1,354,3,Female,71,2,2,Research Scientist,4,Single,5068,24256,5,Y,Yes,16,3,3,80,1,14,1,4,6,2,6,6
37,Yes,Travel_Rarely,818,Research & Development,14,4,Medical,1,355,1,Male,79,3,2,Manufacturing Director,4,Single,5606,2978,2,Y,Yes,14,3,3,80,0,24,2,3,9,9,4,9
36,Yes,Travel_Frequently,1271,Sales,29,3,Marketing,1,356,3,Female,97,4,5,Manager,3,Single,19778,5670,2,Y,Yes,19,3,3,80,0,19,4,3,1,0,1,1
40,No,Travel_Rarely,800,Research & Development,7,1,Medical,1,357,2,Male,85,2,2,Laboratory Technician,4,Divorced,4260,25094,0,Y,Yes,23,3,3,80,1,8,3,2,8,4,8,7
58,No,Non-Travel,1466,Research & Development,5,3,Medical,1,358,2,Male,85,4,2,Research Scientist,4,Married,4941,2099,3,Y,Yes,23,3,3,80,0,21,2,1,5,2,5,3
33,No,Travel_Rarely,147,Research & Development,15,4,Life Sciences,1,359,3,Female,96,3,1,Laboratory Technician,3,Married,3123,2152,1,Y,No,16,3,1,80,3,7,3,3,1,1,1,1
47,No,Non-Travel,390,Sales,26,4,Life Sciences,1,360,2,Male,93,2,3,Sales Executive,2,Married,6058,20316,3,Y,No,13,4,3,80,0,11,3,2,10,7,10,5
29,Yes,Travel_Rarely,472,Research & Development,26,2,Medical,1,361,4,Male,32,3,2,Research Scientist,1,Single,5003,15531,0,Y,No,13,3,3,80,0,16,3,4,2,2,2,2
39,Yes,Travel_Frequently,931,Sales,10,3,Life Sciences,1,362,4,Female,57,2,4,Manager,4,Married,13503,17865,0,Y,Yes,15,3,3,80,0,5,6,1,4,4,4,4
33,No,Travel_Rarely,362,Sales,4,3,Human Resources,1,363,4,Female,91,2,2,Sales Executive,3,Married,5174,20094,1,Y,No,19,3,4,80,1,12,0,1,0,0,0,0
40,No,Travel_Rarely,393,Research & Development,7,4,Life Sciences,1,364,4,Female,33,3,3,Research Scientist,2,Single,6272,19203,2,Y,No,25,3,2,80,0,20,4,4,12,9,5,6
30,No,Travel_Rarely,828,Research & Development,19,3,Life Sciences,1,365,2,Male,99,3,2,Manufacturing Director,3,Divorced,4774,11404,1,Y,Yes,25,3,3,80,1,6,2,2,1,1,1,1
47,No,Non-Travel,1305,Research & Development,27,3,Life Sciences,1,366,3,Female,96,4,1,Laboratory Technician,3,Single,1638,4005,1,Y,No,12,3,3,80,1,19,5,4,16,15,2,11
37,No,Travel_Frequently,745,Sales,22,4,Medical,1,367,4,Male,45,3,5,Manager,4,Married,19999,5994,2,Y,No,21,3,3,80,1,22,5,4,3,3,3,3
34,Yes,Non-Travel,282,Sales,4,4,Life Sciences,1,368,2,Male,62,2,5,Manager,2,Married,19561,24474,0,Y,Yes,15,3,3,80,2,5,0,3,0,0,0,0
42,No,Travel_Rarely,845,Research & Development,8,3,Human Resources,1,369,2,Male,42,3,3,Research Scientist,4,Single,6766,19375,3,Y,No,15,3,3,80,0,12,2,4,9,6,2,8
40,Yes,Travel_Rarely,160,Sales,18,1,Life Sciences,1,370,2,Female,78,3,3,Sales Executive,4,Single,6069,21169,5,Y,Yes,25,3,4,80,1,10,2,3,2,2,0,2
40,No,Non-Travel,635,Sales,13,3,Life Sciences,1,371,3,Female,90,4,5,Manager,4,Single,19326,5398,1,Y,No,19,3,3,80,1,7,2,3,7,7,1,7
51,No,Travel_Rarely,821,Sales,21,2,Technical Degree,1,372,3,Male,88,3,3,Sales Executive,4,Married,9840,13278,4,Y,No,19,3,4,80,0,15,2,4,0,0,0,0
44,No,Travel_Rarely,485,Sales,13,3,Life Sciences,1,373,4,Male,38,2,3,Sales Executive,3,Married,7450,4333,1,Y,Yes,14,4,4,80,1,13,2,3,10,2,10,10
19,No,Travel_Rarely,767,Research & Development,4,4,Life Sciences,1,374,4,Male,73,3,3,Research Director,4,Married,8382,15754,0,Y,No,14,3,4,80,1,37,5,1,24,1,4,9
40,No,Travel_Rarely,412,Research & Development,9,2,Human Resources,1,375,2,Male,86,3,2,Research Scientist,1,Married,4837,23100,7,Y,Yes,13,4,4,80,1,8,2,2,5,5,3,5
33,No,Travel_Rarely,820,Research & Development,2,3,Life Sciences,1,376,3,Male,83,3,4,Manager,3,Single,11616,19228,2,Y,No,17,3,3,80,1,32,2,1,17,0,15,6
46,No,Travel_Rarely,134,Research & Development,13,3,Marketing,1,377,4,Male,67,2,3,Manufacturing Director,3,Married,6751,17811,3,Y,No,13,3,4,80,1,27,2,3,10,1,2,10
25,No,Travel_Rarely,1406,Research & Development,2,1,Other,1,378,3,Male,85,4,1,Laboratory Technician,4,Divorced,3348,21886,4,Y,No,20,4,4,80,0,30,6,4,11,11,9,11
47,Yes,Travel_Rarely,610,Research & Development,1,2,Life Sciences,1,379,4,Female,63,3,1,Research Scientist,4,Divorced,2670,14007,2,Y,Yes,16,3,3,80,2,20,0,4,7,0,7,4
18,No,Travel_Rarely,1130,Research & Development,10,3,Life Sciences,1,380,4,Male,79,3,2,Manufacturing Director,1,Single,5868,10468,7,Y,No,25,3,3,80,0,17,4,2,3,3,3,2
58,No,Travel_Rarely,228,Research & Development,5,4,Medical,1,381,3,Male,32,3,2,Healthcare Representative,4,Single,3915,19759,8,Y,Yes,19,3,4,80,1,10,2,3,8,8,5,8
37,Yes,Non-Travel,1487,Research & Development,27,3,Life Sciences,1,382,4,Male,60,3,1,Research Scientist,2,Married,3115,15875,4,Y,No,25,3,2,80,0,15,0,3,3,3,3,3
22,No,Travel_Frequently,1353,Research & Development,11,3,Medical,1,383,3,Male,77,3,2,Healthcare Representative,4,Single,4919,9269,0,Y,No,23,3,4,80,0,20,3,3,11,1,11,11
23,No,Travel_Rarely,605,Research & Development,18,3,Technical Degree,1,384,4,Male,34,3,1,Healthcare Representative,4,Single,3192,11062,0,Y,No,16,3,2,80,1,36,6,3,19,11,10,11
47,No,Travel_Rarely,829,Sales,29,3,Life Sciences,1,385,4,Male,44,3,5,Manager,4,Married,19999,20452,3,Y,Yes,13,3,3,80,0,14,2,3,5,0,5,5
30,No,Travel_Frequently,604,Sales,27,3,Marketing,1,386,4,Male,66,3,3,Sales Executive,4,Married,7269,2631,1,Y,No,20,3,3,80,1,24,2,1,17,11,5,6
34,No,Travel_Rarely,1215,Sales,17,4,Medical,1,387,2,Female,98,3,3,Sales Executive,1,Married,7653,22279,4,Y,Yes,22,3,2,80,0,20,2,2,4,4,4,1
28,No,Travel_Rarely,142,Sales,12,3,Other,1,388,1,Male,81,1,4,Manager,1,Divorced,14656,8553,3,Y,No,21,3,4,80,1,18,2,3,3,3,3,3
33,No,Travel_Rarely,834,Research & Development,7,5,Life Sciences,1,389,4,Male,54,2,2,Research Scientist,4,Single,4128,6929,3,Y,No,14,3,4,80,2,19,1,3,6,6,0,6
59,No,Travel_Rarely,1459,Sales,11,3,Other,1,390,4,Female,84,3,3,Sales Executive,2,Married,8133,18758,0,Y,No,24,3,2,80,1,18,3,4,2,2,2,1
28,No,Travel_Frequently,1176,Research & Development,2,2,Other,1,391,2,Male,31,3,4,Manager,4,Married,12608,23580,2,Y,No,21,3,3,80,2,9,6,4,1,1,1,1
42,No,Travel_Rarely,814,Sales,4,3,Marketing,1,392,4,Female,92,4,3,Sales Executive,2,Divorced,9021,14443,4,Y,No,22,3,3,80,1,16,3,4,1,1,1,1
52,No,Travel_Rarely,194,Research & Development,10,3,Life Sciences,1,393,4,Female,83,4,3,Manufacturing Director,1,Divorced,9448,7535,0,Y,No,14,3,3,80,0,9,2,3,2,2,1,2
32,No,Travel_Rarely,681,Research & Development,25,2,Life Sciences,1,394,3,Male,62,4,2,Laboratory Technician,1,Single,4831,11188,4,Y,No,25,3,3,80,1,19,2,2,10,10,4,5
32,No,Travel_Frequently,887,Research & Development,21,3,Life Sciences,1,395,1,Male,96,3,2,Research Scientist,3,Married,4824,19967,5,Y,No,13,3,3,80,3,19,1,3,10,4,7,5
50,No,Non-Travel,851,Research & Development,11,4,Life Sciences,1,396,3,Female,67,4,2,Laboratory Technician,4,Single,5353,10760,5,Y,No,11,3,2,80,0,6,3,2,1,1,0,1
36,Yes,Travel_Frequently,981,Sales,7,3,Life Sciences,1,397,2,Male,45,3,2,Sales Executive,4,Married,4680,9236,0,Y,Yes,20,3,2,80,3,2,1,2,2,2,2,2
46,No,Travel_Rarely,494,Research & Development,19,3,Medical,1,398,4,Male,35,3,2,Research Scientist,4,Divorced,4589,3754,7,Y,No,13,3,3,80,0,26,3,3,11,11,6,11
47,Yes,Travel_Rarely,676,Research & Development,28,4,Life Sciences,1,399,3,Male,36,1,2,Manufacturing Director,1,Married,5022,2910,2,Y,No,24,3,3,80,0,1,2,4,1,0,1,1
45,No,Travel_Rarely,682,Sales,28,3,Life Sciences,1,400,3,Male,58,3,3,Sales Executive,4,Single,9236,2297,0,Y,No,12,3,4,80,0,31,1,4,12,8,7,10
47,No,Travel_Rarely,1363,Sales,15,3,Life Sciences,1,401,4,Male,65,3,2,Sales Executive,1,Divorced,4166,25076,1,Y,No,15,3,3,80,0,14,3,3,8,8,8,8
37,No,Travel_Rarely,1393,Human Resources,4,3,Life Sciences,1,402,3,Female,66,2,5,Manager,2,Married,19999,10819,1,Y,No,20,3,4,80,0,10,4,4,0,0,0,0
27,No,Travel_Rarely,127,Research & Development,7,3,Technical Degree,1,403,4,Female,91,2,2,Laboratory Technician,4,Married,3854,14747,0,Y,No,22,3,2,80,1,20,5,4,4,4,4,4
40,No,Travel_Rarely,718,Research & Development,7,3,Medical,1,404,3,Male,85,2,3,Research Scientist,2,Married,6307,17018,0,Y,No,16,3,4,80,0,3,2,4,1,1,1,1
31,No,Travel_Frequently,1475,Sales,3,3,Life Sciences,1,405,4,Male,80,1,3,Sales Executive,3,Married,8520,4127,2,Y,No,16,3,3,80,2,19,2,3,3,3,3,3
36,No,Travel_Rarely,862,Research & Development,13,5,Medical,1,406,4,Female,95,3,2,Research Scientist,3,Single,5453,10202,0,Y,No,23,3,4,80,0,23,4,4,8,2,3,8
45,No,Travel_Frequently,491,Human Resources,26,3,Medical,1,407,4,Male,93,3,5,Manager,2,Married,19689,17260,3,Y,No,15,3,3,80,1,5,5,3,1,1,1,1
26,No,Non-Travel,1382,Sales,28,1,Life Sciences,1,408,1,Male,37,3,5,Manager,4,Married,18635,5381,0,Y,Yes,14,3,1,80,1,13,2,3,2,2,2,2
43,No,Travel_Rarely,861,Research & Development,17,3,Life Sciences,1,409,3,Male,83,3,2,Research Scientist,2,Divorced,4456,5875,3,Y,Yes,24,3,4,80,0,12,4,2,5,2,5,5
32,No,Travel_Rarely,1154,Research & Development,13,2,Marketing,1,410,3,Male,39,4,2,Research Scientist,3,Married,5121,5893,1,Y,No,19,4,4,80,0,10,2,3,1,1,0,1
43,No,Travel_Rarely,554,Research & Development,2,3,Life Sciences,1,411,4,Female,41,4,1,Laboratory Technician,4,Married,3251,18424,1,Y,No,12,4,3,80,2,6,2,3,4,4,4,4
22,No,Travel_Rarely,1301,Research & Development,28,3,Life Sciences,1,412,3,Male,47,3,1,Research Scientist,3,Divorced,2506,12272,1,Y,No,15,3,4,80,0,25,2,4,17,10,15,17
41,No,Travel_Rarely,536,Sales,2,2,Life Sciences,1,413,4,Female,39,3,3,Sales Executive,4,Married,6474,15195,1,Y,No,11,3,4,80,0,13,3,3,10,6,6,10
41,No,Travel_Rarely,1243,Sales,11,2,Life Sciences,1,414,3,Male,47,3,4,Manager,3,Married,14286,10678,8,Y,Yes,11,3,2,80,1,13,2,3,5,5,5,5
42,No,Travel_Rarely,523,Research & Development,16,3,Marketing,1,415,3,Male,38,2,3,Manufacturing Director,2,Single,8478,18280,6,Y,No,19,3,2,80,0,10,2,4,3,1,1,3
51,No,Travel_Rarely,582,Research & Development,8,4,Other,1,416,4,Male,73,2,1,Laboratory Technician,4,Single,1884,9740,1,Y,No,25,3,1,80,1,7,3,3,6,6,6,6
31,No,Travel_Rarely,375,Research & Development,27,3,Technical Degree,1,417,4,Male,57,2,3,Healthcare Representative,4,Divorced,6507,26476,2,Y,No,13,3,2,80,1,1,3,3,1,1,1,1
43,No,Travel_Frequently,729,Research & Development,4,2,Medical,1,418,4,Male,71,3,4,Manager,3,Married,12013,3481,4,Y,No,16,3,2,80,0,5,3,3,0,0,0,0
44,No,Travel_Rarely,406,Research & Development,8,4,Medical,1,419,4,Male,95,1,3,Manufacturing Director,4,Divorced,8690,23957,2,Y,Yes,15,3,1,80,1,17,0,2,11,6,2,3
35,No,Travel_Frequently,486,Research & Development,17,3,Other,1,420,1,Male,50,3,3,Manufacturing Director,4,Single,6955,8420,0,Y,No,20,3,3,80,0,18,0,4,9,0,0,9
27,No,Travel_Frequently,485,Sales,10,3,Medical,1,421,2,Male,71,3,2,Sales Executive,3,Divorced,3967,21254,3,Y,No,25,3,4,80,1,29,4,3,14,11,12,14
33,No,Non-Travel,960,Sales,28,4,Marketing,1,422,4,Female,47,2,3,Sales Executive,3,Single,6555,8174,0,Y,No,15,3,3,80,0,18,2,4,6,6,6,6
36,No,Travel_Frequently,562,Research & Development,23,3,Other,1,423,3,Male,39,2,2,Healthcare Representative,3,Divorced,5364,17761,0,Y,No,13,4,1,80,1,18,1,4,12,12,12,3
36,No,Non-Travel,736,Research & Development,12,4,Life Sciences,1,424,3,Male,61,4,2,Research Scientist,4,Divorced,4448,19599,1,Y,No,11,3,4,80,1,13,3,4,6,4,6,6
29,No,Travel_Rarely,145,Sales,6,3,Life Sciences,1,425,4,Male,62,3,3,Sales Executive,2,Divorced,6574,2307,3,Y,No,15,3,4,80,2,16,2,1,2,2,0,1
41,No,Non-Travel,639,Sales,14,4,Medical,1,426,4,Male,61,4,3,Sales Executive,3,Single,7932,13788,3,Y,No,18,3,4,80,1,21,3,2,8,6,8,8
18,No,Travel_Rarely,956,Research & Development,7,2,Life Sciences,1,427,3,Female,41,1,1,Research Scientist,3,Married,3264,11358,1,Y,No,16,3,1,80,0,35,1,3,16,6,6,12
30,No,Travel_Rarely,786,Research & Development,16,2,Medical,1,428,3,Male,61,3,2,Research Scientist,2,Single,5901,11998,3,Y,No,20,3,4,80,1,27,3,2,19,12,7,14
41,Yes,Travel_Frequently,968,Research & Development,28,3,Technical Degree,1,429,4,Female,45,3,1,Laboratory Technician,3,Single,2723,4120,0,Y,No,19,3,3,80,1,16,2,3,1,1,1,1
42,No,Travel_Rarely,1202,Research & Development,24,3,Human Resources,1,430,3,Male,86,4,2,Research Scientist,3,Married,4357,15651,6,Y,No,12,3,4,80,1,16,4,2,11,6,11,10
22,No,Travel_Rarely,188,Research & Development,3,3,Life Sciences,1,431,3,Female,59,1,2,Research Scientist,3,Divorced,4892,24216,4,Y,No,12,3,3,80,0,14,3,2,7,7,7,6
56,No,Travel_Rarely,994,Research & Development,9,2,Technical Degree,1,432,3,Male,49,2,2,Healthcare Representative,1,Single,4392,7893,2,Y,Yes,17,3,4,80,2,12,2,3,6,6,6,6
35,No,Travel_Rarely,1211,Research & Development,16,4,Medical,1,433,4,Male,55,3,1,Laboratory Technician,4,Single,3037,8529,0,Y,No,18,3,2,80,3,25,3,3,11,2,11,5
48,No,Non-Travel,1392,Sales,2,5,Marketing,1,434,4,Male,73,3,2,Sales Representative,4,Married,3889,14740,0,Y,No,23,3,3,80,0,12,4,3,2,2,2,2
36,No,Travel_Rarely,1314,Research & Development,9,2,Medical,1,435,4,Female,94,2,1,Laboratory Technician,3,Single,2789,11802,2,Y,No,19,3,2,80,3,7,3,3,4,4,0,4
20,Yes,Travel_Rarely,598,Sales,4,3,Life Sciences,1,436,4,Female,30,4,3,Sales Executive,4,Single,6628,2563,0,Y,Yes,20,3,3,80,1,27,2,2,9,2,9,9
47,No,Travel_Rarely,429,Research & Development,12,3,Medical,1,437,4,Female,71,3,2,Healthcare Representative,3,Divorced,4156,7507,2,Y,No,15,3,2,80,1,3,4,4,3,3,1,3
20,Yes,Travel_Rarely,1349,Research & Development,1,3,Life Sciences,1,438,1,Male,44,3,1,Laboratory Technician,2,Divorced,2669,17210,3,Y,No,17,3,4,80,0,2,4,2,2,2,2,2
60,No,Travel_Rarely,1250,Research & Development,20,4,Medical,1,439,2,Male,73,3,4,Manager,4,Married,13140,23911,3,Y,No,21,3,4,80,1,5,2,3,0,0,0,0
38,No,Non-Travel,1392,Research & Development,10,3,Life Sciences,1,440,3,Male,74,2,1,Research Scientist,3,Married,3254,19779,5,Y,No,12,3,4,80,0,18,3,3,5,5,5,5
31,No,Travel_Rarely,1353,Research & Development,19,3,Medical,1,441,1,Female,75,3,1,Healthcare Representative,4,Divorced,1804,17478,1,Y,No,23,3,4,80,1,19,2,4,3,3,3,3
34,No,Travel_Frequently,233,Research & Development,11,3,Life Sciences,1,442,4,Male,51,3,5,Manager,3,Married,16307,25413,1,Y,No,17,3,2,80,0,6,3,4,3,3,3,1
26,No,Travel_Rarely,450,Research & Development,1,3,Life Sciences,1,443,4,Female,42,3,5,Manager,2,Divorced,16631,14115,0,Y,Yes,25,3,3,80,2,19,2,1,4,4,4,4
40,No,Travel_Rarely,1257,Research & Development,2,2,Life Sciences,1,444,1,Female,32,4,2,Research Scientist,3,Divorced,4289,24155,3,Y,No,14,3,4,80,0,24,4,3,9,9,9,6
37,No,Travel_Rarely,482,Research & Development,26,3,Other,1,445,4,Male,32,3,3,Manufacturing Director,3,Single,9190,12173,0,Y,No,23,3,4,80,1,15,2,3,12,12,8,2
26,Yes,Travel_Rarely,1085,Research & Development,11,3,Marketing,1,446,3,Male,34,3,1,Laboratory Technician,3,Divorced,3160,18458,1,Y,No,16,3,4,80,0,1,2,4,1,1,1,1
55,No,Travel_Rarely,745,Research & Development,12,3,Human Resources,1,447,4,Male,74,4,3,Manufacturing Director,1,Married,6733,12844,7,Y,No,24,3,4,80,1,20,4,2,4,4,3,4
29,No,Travel_Rarely,956,Research & Development,16,4,Life Sciences,1,448,3,Male,50,3,2,Research Scientist,1,Married,4427,25965,2,Y,No,13,3,3,80,0,25,2,2,6,6,6,6
49,No,Travel_Rarely,1030,Research & Development,5,3,Medical,1,449,2,Male,93,4,5,Manager,3,Married,19335,21492,1,Y,No,16,3,2,80,1,16,4,3,3,3,3,3
37,No,Travel_Rarely,136,Research & Development,23,3,Medical,1,450,2,Female,90,3,2,Research Scientist,2,Single,3583,3868,0,Y,No,17,4,4,80,0,12,3,3,9,2,8,9
27,No,Travel_Rarely,1363,Sales,10,3,Life Sciences,1,451,3,Male,76,2,1,Sales Representative,3,Married,2966,16589,3,Y,No,25,4,2,80,1,22,2,4,14,4,6,4
