Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Binary,AttritionRisk_Score,AttritionRisk_Tier
19,No,Travel_Rarely,767,Research & Development,4,4,Life Sciences,4,Male,73,3,3,Research Director,4,Married,8382,15754,0,No,14,3,4,1,37,5,1,24,1,4,9,0,0.0767,Low
40,No,Travel_Rarely,412,Research & Development,9,2,Human Resources,2,Male,86,3,2,Research Scientist,1,Married,4837,23100,7,Yes,13,4,4,1,8,2,2,5,5,3,5,0,0.3463,Medium
33,No,Travel_Rarely,820,Research & Development,2,3,Life Sciences,3,Male,83,3,4,Manager,3,Single,11616,19228,2,No,17,3,3,1,32,2,1,17,0,15,6,0,0.0719,Low
46,No,Travel_Rarely,134,Research & Development,13,3,Marketing,4,Male,67,2,3,Manufacturing Director,3,Married,6751,17811,3,No,13,3,4,1,27,2,3,10,1,2,10,0,0.0296,Low
25,No,Travel_Rarely,1406,Research & Development,2,1,Other,3,Male,85,4,1,Laboratory Technician,4,Divorced,3348,21886,4,No,20,4,4,0,30,6,4,11,11,9,11,0,0.1497,Low
47,Yes,Travel_Rarely,610,Research & Development,1,2,Life Sciences,4,Female,63,3,1,Research Scientist,4,Divorced,2670,14007,2,Yes,16,3,3,2,20,0,4,7,0,7,4,1,0.6626,High
18,No,Travel_Rarely,1130,Research & Development,10,3,Life Sciences,4,Male,79,3,2,Manufacturing Director,1,Single,5868,10468,7,No,25,3,3,0,17,4,2,3,3,3,2,0,0.0981,Low
58,No,Travel_Rarely,228,Research & Development,5,4,Medical,3,Male,32,3,2,Healthcare Representative,4,Single,3915,19759,8,Yes,19,3,4,1,10,2,3,8,8,5,8,0,0.3263,Medium
37,Yes,Non-Travel,1487,Research & Development,27,3,Life Sciences,4,Male,60,3,1,Research Scientist,2,Married,3115,15875,4,No,25,3,2,0,15,0,3,3,3,3,3,1,0.7276,High
22,No,Travel_Frequently,1353,Research & Development,11,3,Medical,3,Male,77,3,2,Healthcare Representative,4,Single,4919,9269,0,No,23,3,4,0,20,3,3,11,1,11,11,0,0.0591,Low
23,No,Travel_Rarely,605,Research & Development,18,3,Technical Degree,4,Male,34,3,1,Healthcare Representative,4,Single,3192,11062,0,No,16,3,2,1,36,6,3,19,11,10,11,0,0.2345,Low
47,No,Travel_Rarely,829,Sales,29,3,Life Sciences,4,Male,44,3,5,Manager,4,Married,19999,20452,3,Yes,13,3,3,0,14,2,3,5,0,5,5,0,0.3019,Medium
30,No,Travel_Frequently,604,Sales,27,3,Marketing,4,Male,66,3,3,Sales Executive,4,Married,7269,2631,1,No,20,3,3,1,24,2,1,17,11,5,6,0,0.0941,Low
34,No,Travel_Rarely,1215,Sales,17,4,Medical,2,Female,98,3,3,Sales Executive,1,Married,7653,22279,4,Yes,22,3,2,0,20,2,2,4,4,4,1,0,0.4281,Medium
28,No,Travel_Rarely,142,Sales,12,3,Other,1,Male,81,1,4,Manager,1,Divorced,14656,8553,3,No,21,3,4,1,18,2,3,3,3,3,3,0,0.1231,Low
33,No,Travel_Rarely,834,Research & Development,7,5,Life Sciences,4,Male,54,2,2,Research Scientist,4,Single,4128,6929,3,No,14,3,4,2,19,1,3,6,6,0,6,0,0.0288,Low
59,No,Travel_Rarely,1459,Sales,11,3,Other,4,Female,84,3,3,Sales Executive,2,Married,8133,18758,0,No,24,3,2,1,18,3,4,2,2,2,1,0,0.0973,Low
28,No,Travel_Frequently,1176,Research & Development,2,2,Other,2,Male,31,3,4,Manager,4,Married,12608,23580,2,No,21,3,3,2,9,6,4,1,1,1,1,0,0.0774,Low
42,No,Travel_Rarely,814,Sales,4,3,Marketing,4,Female,92,4,3,Sales Executive,2,Divorced,9021,14443,4,No,22,3,3,1,16,3,4,1,1,1,1,0,0.0977,Low
52,No,Travel_Rarely,194,Research & Development,10,3,Life Sciences,4,Female,83,4,3,Manufacturing Director,1,Divorced,9448,7535,0,No,14,3,3,0,9,2,3,2,2,1,2,0,0.1824,Low
32,No,Travel_Rarely,681,Research & Development,25,2,Life Sciences,3,Male,62,4,2,Laboratory Technician,1,Single,4831,11188,4,No,25,3,3,1,19,2,2,10,10,4,5,0,0.0677,Low
32,No,Travel_Frequently,887,Research & Development,21,3,Life Sciences,1,Male,96,3,2,Research Scientist,3,Married,4824,19967,5,No,13,3,3,3,19,1,3,10,4,7,5,0,0.0766,Low
50,No,Non-Travel,851,Research & Development,11,4,Life Sciences,3,Female,67,4,2,Laboratory Technician,4,Single,5353,10760,5,No,11,3,2,0,6,3,2,1,1,0,1,0,0.1395,Low
36,Yes,Travel_Frequently,981,Sales,7,3,Life Sciences,2,Male,45,3,2,Sales Executive,4,Married,4680,9236,0,Yes,20,3,2,3,2,1,2,2,2,2,2,1,0.7518,High
46,No,Travel_Rarely,494,Research & Development,19,3,Medical,4,Male,35,3,2,Research Scientist,4,Divorced,4589,3754,7,No,13,3,3,0,26,3,3,11,11,6,11,0,0.0446,Low
47,Yes,Travel_Rarely,676,Research & Development,28,4,Life Sciences,3,Male,36,1,2,Manufacturing Director,1,Married,5022,2910,2,No,24,3,3,0,1,2,4,1,0,1,1,1,0.6234,High
45,No,Travel_Rarely,682,Sales,28,3,Life Sciences,3,Male,58,3,3,Sales Executive,4,Single,9236,2297,0,No,12,3,4,0,31,1,4,12,8,7,10,0,0.048,Low
47,No,Travel_Rarely,1363,Sales,15,3,Life Sciences,4,Male,65,3,2,Sales Executive,1,Divorced,4166,25076,1,No,15,3,3,0,14,3,3,8,8,8,8,0,0.0252,Low
37,No,Travel_Rarely,1393,Human Resources,4,3,Life Sciences,3,Female,66,2,5,Manager,2,Married,19999,10819,1,No,20,3,4,0,10,4,4,0,0,0,0,0,0.1005,Low
27,No,Travel_Rarely,127,Research & Development,7,3,Technical Degree,4,Female,91,2,2,Laboratory Technician,4,Married,3854,14747,0,No,22,3,2,1,20,5,4,4,4,4,4,0,0.0282,Low
40,No,Travel_Rarely,718,Research & Development,7,3,Medical,3,Male,85,2,3,Research Scientist,2,Married,6307,17018,0,No,16,3,4,0,3,2,4,1,1,1,1,0,0.2298,Low
31,No,Travel_Frequently,1475,Sales,3,3,Life Sciences,4,Male,80,1,3,Sales Executive,3,Married,8520,4127,2,No,16,3,3,2,19,2,3,3,3,3,3,0,0.0606,Low
36,No,Travel_Rarely,862,Research & Development,13,5,Medical,4,Female,95,3,2,Research Scientist,3,Single,5453,10202,0,No,23,3,4,0,23,4,4,8,2,3,8,0,0.0441,Low
45,No,Travel_Frequently,491,Human Resources,26,3,Medical,4,Male,93,3,5,Manager,2,Married,19689,17260,3,No,15,3,3,1,5,5,3,1,1,1,1,0,0.1999,Low
26,No,Non-Travel,1382,Sales,28,1,Life Sciences,1,Male,37,3,5,Manager,4,Married,18635,5381,0,Yes,14,3,1,1,13,2,3,2,2,2,2,0,0.3549,Medium
43,No,Travel_Rarely,861,Research & Development,17,3,Life Sciences,3,Male,83,3,2,Research Scientist,2,Divorced,4456,5875,3,Yes,24,3,4,0,12,4,2,5,2,5,5,0,0.2582,Low
32,No,Travel_Rarely,1154,Research & Development,13,2,Marketing,3,Male,39,4,2,Research Scientist,3,Married,5121,5893,1,No,19,4,4,0,10,2,3,1,1,0,1,0,0.0776,Low
43,No,Travel_Rarely,554,Research & Development,2,3,Life Sciences,4,Female,41,4,1,Laboratory Technician,4,Married,3251,18424,1,No,12,4,3,2,6,2,3,4,4,4,4,0,0.1919,Low
22,No,Travel_Rarely,1301,Research & Development,28,3,Life Sciences,3,Male,47,3,1,Research Scientist,3,Divorced,2506,12272,1,No,15,3,4,0,25,2,4,17,10,15,17,0,0.3541,Medium
41,No,Travel_Rarely,536,Sales,2,2,Life Sciences,4,Female,39,3,3,Sales Executive,4,Married,6474,15195,1,No,11,3,4,0,13,3,3,10,6,6,10,0,0.0322,Low
41,No,Travel_Rarely,1243,Sales,11,2,Life Sciences,3,Male,47,3,4,Manager,3,Married,14286,10678,8,Yes,11,3,2,1,13,2,3,5,5,5,5,0,0.2917,Low
42,No,Travel_Rarely,523,Research & Development,16,3,Marketing,3,Male,38,2,3,Manufacturing Director,2,Single,8478,18280,6,No,19,3,2,0,10,2,4,3,1,1,3,0,0.1784,Low
51,No,Travel_Rarely,582,Research & Development,8,4,Other,4,Male,73,2,1,Laboratory Technician,4,Single,1884,9740,1,No,25,3,1,1,7,3,3,6,6,6,6,0,0.1788,Low
31,No,Travel_Rarely,375,Research & Development,27,3,Technical Degree,4,Male,57,2,3,Healthcare Representative,4,Divorced,6507,26476,2,No,13,3,2,1,1,3,3,1,1,1,1,0,0.094,Low
43,No,Travel_Frequently,729,Research & Development,4,2,Medical,4,Male,71,3,4,Manager,3,Married,12013,3481,4,No,16,3,2,0,5,3,3,0,0,0,0,0,0.0721,Low
44,No,Travel_Rarely,406,Research & Development,8,4,Medical,4,Male,95,1,3,Manufacturing Director,4,Divorced,8690,23957,2,Yes,15,3,1,1,17,0,2,11,6,2,3,0,0.3082,Medium
35,No,Travel_Frequently,486,Research & Development,17,3,Other,1,Male,50,3,3,Manufacturing Director,4,Single,6955,8420,0,No,20,3,3,0,18,0,4,9,0,0,9,0,0.0891,Low
27,No,Travel_Frequently,485,Sales,10,3,Medical,2,Male,71,3,2,Sales Executive,3,Divorced,3967,21254,3,No,25,3,4,1,29,4,3,14,11,12,14,0,0.0336,Low
33,No,Non-Travel,960,Sales,28,4,Marketing,4,Female,47,2,3,Sales Executive,3,Single,6555,8174,0,No,15,3,3,0,18,2,4,6,6,6,6,0,0.0878,Low
36,No,Travel_Frequently,562,Research & Development,23,3,Other,3,Male,39,2,2,Healthcare Representative,3,Divorced,5364,17761,0,No,13,4,1,1,18,1,4,12,12,12,3,0,0.0427,Low
36,No,Non-Travel,736,Research & Development,12,4,Life Sciences,3,Male,61,4,2,Research Scientist,4,Divorced,4448,19599,1,No,11,3,4,1,13,3,4,6,4,6,6,0,0.0267,Low
29,No,Travel_Rarely,145,Sales,6,3,Life Sciences,4,Male,62,3,3,Sales Executive,2,Divorced,6574,2307,3,No,15,3,4,2,16,2,1,2,2,0,1,0,0.144,Low
41,No,Non-Travel,639,Sales,14,4,Medical,4,Male,61,4,3,Sales Executive,3,Single,7932,13788,3,No,18,3,4,1,21,3,2,8,6,8,8,0,0.0223,Low
18,No,Travel_Rarely,956,Research & Development,7,2,Life Sciences,3,Female,41,1,1,Research Scientist,3,Married,3264,11358,1,No,16,3,1,0,35,1,3,16,6,6,12,0,0.1353,Low
30,No,Travel_Rarely,786,Research & Development,16,2,Medical,3,Male,61,3,2,Research Scientist,2,Single,5901,11998,3,No,20,3,4,1,27,3,2,19,12,7,14,0,0.0314,Low
41,Yes,Travel_Frequently,968,Research & Development,28,3,Technical Degree,4,Female,45,3,1,Laboratory Technician,3,Single,2723,4120,0,No,19,3,3,1,16,2,3,1,1,1,1,1,0.7883,High
42,No,Travel_Rarely,1202,Research & Development,24,3,Human Resources,3,Male,86,4,2,Research Scientist,3,Married,4357,15651,6,No,12,3,4,1,16,4,2,11,6,11,10,0,0.0478,Low
22,No,Travel_Rarely,188,Research & Development,3,3,Life Sciences,3,Female,59,1,2,Research Scientist,3,Divorced,4892,24216,4,No,12,3,3,0,14,3,2,7,7,7,6,0,0.0904,Low
56,No,Travel_Rarely,994,Research & Development,9,2,Technical Degree,3,Male,49,2,2,Healthcare Representative,1,Single,4392,7893,2,Yes,17,3,4,2,12,2,3,6,6,6,6,0,0.2488,Low
35,No,Travel_Rarely,1211,Research & Development,16,4,Medical,4,Male,55,3,1,Laboratory Technician,4,Single,3037,8529,0,No,18,3,2,3,25,3,3,11,2,11,5,0,0.162,Low
48,No,Non-Travel,1392,Sales,2,5,Marketing,4,Male,73,3,2,Sales Representative,4,Married,3889,14740,0,No,23,3,3,0,12,4,3,2,2,2,2,0,0.1505,Low
36,No,Travel_Rarely,1314,Research & Development,9,2,Medical,4,Female,94,2,1,Laboratory Technician,3,Single,2789,11802,2,No,19,3,2,3,7,3,3,4,4,0,4,0,0.2883,Low
20,Yes,Travel_Rarely,598,Sales,4,3,Life Sciences,4,Female,30,4,3,Sales Executive,4,Single,6628,2563,0,Yes,20,3,3,1,27,2,2,9,2,9,9,1,0.5758,Medium
47,No,Travel_Rarely,429,Research & Development,12,3,Medical,4,Female,71,3,2,Healthcare Representative,3,Divorced,4156,7507,2,No,15,3,2,1,3,4,4,3,3,1,3,0,0.0668,Low
20,Yes,Travel_Rarely,1349,Research & Development,1,3,Life Sciences,1,Male,44,3,1,Laboratory Technician,2,Divorced,2669,17210,3,No,17,3,4,0,2,4,2,2,2,2,2,1,0.771,High
60,No,Travel_Rarely,1250,Research & Development,20,4,Medical,2,Male,73,3,4,Manager,4,Married,13140,23911,3,No,21,3,4,1,5,2,3,0,0,0,0,0,0.0578,Low
38,No,Non-Travel,1392,Research & Development,10,3,Life Sciences,3,Male,74,2,1,Research Scientist,3,Married,3254,19779,5,No,12,3,4,0,18,3,3,5,5,5,5,0,0.1562,Low
31,No,Travel_Rarely,1353,Research & Development,19,3,Medical,1,Female,75,3,1,Healthcare Representative,4,Divorced,1804,17478,1,No,23,3,4,1,19,2,4,3,3,3,3,0,0.3207,Medium
34,No,Travel_Frequently,233,Research & Development,11,3,Life Sciences,4,Male,51,3,5,Manager,3,Married,16307,25413,1,No,17,3,2,0,6,3,4,3,3,3,1,0,0.0684,Low
26,No,Travel_Rarely,450,Research & Development,1,3,Life Sciences,4,Female,42,3,5,Manager,2,Divorced,16631,14115,0,Yes,25,3,3,2,19,2,1,4,4,4,4,0,0.3617,Medium
40,No,Travel_Rarely,1257,Research & Development,2,2,Life Sciences,1,Female,32,4,2,Research Scientist,3,Divorced,4289,24155,3,No,14,3,4,0,24,4,3,9,9,9,6,0,0.0289,Low
37,No,Travel_Rarely,482,Research & Development,26,3,Other,4,Male,32,3,3,Manufacturing Director,3,Single,9190,12173,0,No,23,3,4,1,15,2,3,12,12,8,2,0,0.0487,Low
26,Yes,Travel_Rarely,1085,Research & Development,11,3,Marketing,3,Male,34,3,1,Laboratory Technician,3,Divorced,3160,18458,1,No,16,3,4,0,1,2,4,1,1,1,1,1,0.7627,High
55,No,Travel_Rarely,745,Research & Development,12,3,Human Resources,4,Male,74,4,3,Manufacturing Director,1,Married,6733,12844,7,No,24,3,4,1,20,4,2,4,4,3,4,0,0.0705,Low
29,No,Travel_Rarely,956,Research & Development,16,4,Life Sciences,3,Male,50,3,2,Research Scientist,1,Married,4427,25965,2,No,13,3,3,0,25,2,2,6,6,6,6,0,0.0546,Low
49,No,Travel_Rarely,1030,Research & Development,5,3,Medical,2,Male,93,4,5,Manager,3,Married,19335,21492,1,No,16,3,2,1,16,4,3,3,3,3,3,0,0.0227,Low
37,No,Travel_Rarely,136,Research & Development,23,3,Medical,2,Female,90,3,2,Research Scientist,2,Single,3583,3868,0,No,17,4,4,0,12,3,3,9,2,8,9,0,0.1843,Low
27,No,Travel_Rarely,1363,Sales,10,3,Life Sciences,3,Male,76,2,1,Sales Representative,3,Married,2966,16589,3,No,25,4,2,1,22,2,4,14,4,6,4,0,0.1213,Low
21,No,Travel_Rarely,1379,Research & Development,28,3,Life Sciences,3,Male,64,4,2,Laboratory Technician,3,Married,4521,14024,0,No,21,3,1,0,13,2,3,5,5,5,5,0,0.0397,Low
38,No,Travel_Rarely,1018,Sales,24,4,Medical,3,Male,85,2,3,Sales Executive,1,Single,7158,12902,0,No,11,3,3,1,24,1,2,11,0,11,2,0,0.092,Low
28,No,Travel_Rarely,806,Sales,16,3,Medical,1,Female,68,3,3,Sales Executive,2,Married,6846,4110,0,No,19,4,3,0,6,3,3,6,6,6,6,0,0.0918,Low
36,No,Travel_Rarely,1357,Research & Development,28,4,Life Sciences,4,Female,78,1,4,Manager,3,Divorced,13661,20596,0,No,18,4,3,3,16,0,3,5,5,1,5,0,0.1079,Low
35,No,Travel_Rarely,389,Sales,8,3,Other,3,Male,62,3,3,Sales Executive,4,Single,6447,22910,4,No,13,4,3,1,25,4,2,12,12,12,12,0,0.0405,Low
48,No,Travel_Rarely,1485,Sales,3,3,Medical,3,Male,68,3,3,Sales Executive,1,Divorced,7712,23520,1,No,21,3,3,0,13,6,2,9,9,2,9,0,0.0807,Low
44,No,Travel_Frequently,674,Sales,29,4,Medical,4,Male,50,3,1,Sales Representative,3,Married,2431,15132,1,Yes,11,3,3,1,14,3,4,7,0,7,1,0,0.6278,High
40,No,Travel_Rarely,316,Research & Development,20,3,Technical Degree,4,Male,49,2,3,Manufacturing Director,4,Married,8237,26278,0,No,16,3,3,1,11,3,4,9,1,3,3,0,0.0231,Low
21,No,Travel_Rarely,1346,Research & Development,14,3,Medical,3,Female,44,4,2,Laboratory Technician,3,Divorced,4410,2348,0,Yes,13,3,2,1,14,2,4,5,5,5,1,0,0.2501,Low
53,Yes,Travel_Rarely,916,Research & Development,25,4,Life Sciences,3,Male,95,3,5,Manager,4,Divorced,17057,25004,0,Yes,24,3,3,1,8,2,3,1,1,0,1,1,0.6944,High
39,No,Travel_Frequently,1252,Sales,5,3,Medical,3,Female,56,4,3,Sales Executive,2,Single,9722,16493,1,No,15,3,4,0,22,5,4,12,3,8,5,0,0.0292,Low
22,No,Travel_Rarely,1089,Research & Development,27,2,Medical,3,Female,39,4,2,Healthcare Representative,2,Married,4264,17702,2,No,14,3,2,2,5,2,3,5,0,5,5,0,0.1322,Low
28,No,Travel_Rarely,1199,Research & Development,29,3,Medical,4,Male,86,3,3,Research Director,4,Married,9705,20614,1,Yes,16,3,1,3,27,2,2,17,4,0,11,0,0.3612,Medium
35,No,Travel_Rarely,325,Research & Development,2,3,Medical,2,Female,58,4,1,Research Scientist,2,Married,2951,4172,0,No,12,3,1,1,35,5,3,23,0,8,7,0,0.2305,Low
28,No,Travel_Rarely,1179,Sales,20,3,Medical,1,Male,74,3,3,Sales Executive,1,Married,7050,16143,0,No,16,4,4,0,15,1,4,7,7,7,7,0,0.0441,Low
28,Yes,Travel_Rarely,373,Sales,15,3,Medical,2,Female,34,4,3,Sales Executive,4,Divorced,6622,10265,0,Yes,21,3,3,0,18,1,3,2,2,0,2,1,0.727,High
31,No,Travel_Rarely,330,Sales,26,4,Life Sciences,4,Female,62,3,3,Sales Executive,4,Married,8650,22957,0,No,24,3,2,1,24,0,4,6,6,0,6,0,0.0449,Low
33,No,Travel_Rarely,612,Research & Development,1,3,Life Sciences,3,Female,94,4,2,Research Scientist,4,Married,3514,19508,3,Yes,23,4,3,3,18,4,1,3,0,3,3,0,0.2574,Low
28,No,Non-Travel,509,Sales,29,1,Marketing,2,Female,32,3,5,Manager,1,Married,16920,7750,4,No,16,3,4,1,5,3,3,2,2,2,2,0,0.1733,Low
43,No,Travel_Rarely,1067,Research & Development,22,3,Medical,4,Male,84,3,3,Manufacturing Director,3,Single,8339,26830,0,No,13,3,4,0,4,1,2,4,4,4,1,0,0.0271,Low
43,No,Travel_Rarely,743,Research & Development,29,3,Medical,1,Female,79,3,2,Manufacturing Director,4,Married,5845,3701,6,No,12,3,4,0,19,2,3,3,3,0,3,0,0.1005,Low
36,No,Travel_Rarely,1146,Research & Development,20,3,Life Sciences,3,Male,64,4,1,Research Scientist,3,Married,2591,23544,5,Yes,18,3,3,0,11,5,3,6,2,6,5,0,0.4703,Medium
40,No,Travel_Rarely,492,Research & Development,25,4,Life Sciences,3,Female,77,2,1,Laboratory Technician,4,Married,3164,6495,2,No,15,3,3,1,30,2,4,12,5,1,1,0,0.2624,Low
35,No,Travel_Frequently,1437,Research & Development,23,2,Life Sciences,4,Female,66,4,2,Research Scientist,3,Married,4090,14191,0,No,13,3,4,0,16,2,3,3,3,3,3,0,0.045,Low
18,No,Travel_Frequently,1006,Sales,28,1,Other,3,Male,46,3,3,Sales Executive,4,Married,9058,14480,1,No,21,3,4,1,6,2,3,4,4,4,4,0,0.0484,Low
30,No,Travel_Frequently,616,Research & Development,7,5,Medical,3,Female,86,4,5,Manager,4,Married,16207,22640,1,No,12,3,2,3,29,3,4,12,1,12,8,0,0.0396,Low
34,Yes,Travel_Rarely,264,Sales,29,2,Life Sciences,3,Male,83,3,1,Sales Representative,1,Married,2321,12301,0,No,13,3,4,0,7,2,4,1,1,1,1,1,0.7185,High
41,No,Travel_Rarely,724,Research & Development,8,4,Medical,2,Male,65,3,3,Manufacturing Director,4,Married,7134,21097,3,No,25,4,3,0,16,3,3,1,1,0,1,0,0.0775,Low
36,No,Travel_Rarely,469,Human Resources,13,3,Medical,4,Female,78,4,3,Manager,4,Married,9161,8528,0,No,15,3,1,0,12,1,2,5,5,3,1,0,0.0488,Low
42,No,Travel_Rarely,1269,Research & Development,22,3,Technical Degree,3,Male,71,3,2,Laboratory Technician,4,Married,4340,13276,0,No,19,3,2,0,16,3,3,12,12,12,8,0,0.0336,Low
43,Yes,Travel_Rarely,468,Research & Development,9,3,Medical,3,Female,53,2,1,Research Scientist,2,Divorced,2040,19339,1,Yes,11,3,1,0,13,5,1,3,3,3,3,1,0.8394,High
34,No,Non-Travel,1488,Research & Development,1,2,Life Sciences,3,Male,92,3,4,Manager,3,Divorced,11531,13816,0,No,14,4,3,2,24,5,3,6,3,6,6,0,0.0536,Low
28,No,Travel_Rarely,693,Research & Development,12,3,Life Sciences,3,Male,96,3,3,Manufacturing Director,4,Married,8320,22471,0,No,15,3,1,2,1,2,2,0,0,0,0,0,0.0619,Low
48,Yes,Travel_Frequently,952,Sales,24,4,Life Sciences,3,Male,38,3,2,Sales Representative,3,Married,4685,25572,9,Yes,19,3,4,0,24,4,3,16,2,14,2,1,0.7183,High
59,No,Travel_Rarely,391,Sales,1,4,Technical Degree,3,Female,46,3,1,Sales Representative,4,Divorced,1449,26294,3,No,13,3,4,2,15,1,1,6,6,1,6,0,0.1755,Low
41,No,Non-Travel,286,Research & Development,28,4,Medical,4,Male,86,2,3,Manufacturing Director,4,Single,6656,25334,1,No,22,3,3,3,21,0,1,2,2,2,2,0,0.1216,Low
32,No,Travel_Rarely,433,Research & Development,17,4,Technical Degree,3,Male,52,3,1,Laboratory Technician,3,Divorced,2277,14889,2,No,12,3,3,2,3,2,2,1,1,1,1,0,0.5027,Medium
33,No,Travel_Rarely,983,Research & Development,16,3,Technical Degree,2,Male,61,3,5,Manager,4,Single,19999,25364,1,No,23,3,4,3,7,3,4,2,2,2,2,0,0.0637,Low
46,No,Travel_Rarely,1153,Sales,10,3,Medical,4,Female,81,2,2,Sales Executive,1,Married,5565,6694,1,No,14,4,4,0,14,3,3,6,4,6,2,0,0.0434,Low
38,No,Travel_Rarely,381,Research & Development,5,2,Technical Degree,2,Male,34,3,1,Research Scientist,3,Married,3170,4097,5,Yes,23,3,4,0,14,2,3,7,6,5,7,0,0.2463,Low
45,Yes,Travel_Rarely,560,Research & Development,14,3,Life Sciences,4,Female,96,1,1,Laboratory Technician,1,Married,2815,23613,1,No,23,3,4,1,10,3,3,8,1,1,3,1,0.6691,High
49,No,Travel_Rarely,657,Research & Development,15,2,Medical,1,Female,56,3,2,Healthcare Representative,1,Married,4363,23682,1,No,18,3,2,1,21,2,3,12,1,0,12,0,0.1524,Low
32,No,Travel_Rarely,1498,Sales,12,1,Medical,3,Male,54,1,2,Sales Executive,4,Married,4607,19879,3,No,11,4,3,1,12,4,2,5,5,5,5,0,0.0739,Low
32,No,Travel_Rarely,1242,Human Resources,24,4,Life Sciences,3,Male,99,3,2,Human Resources,4,Single,5448,13101,5,No,18,3,2,1,8,3,4,2,2,1,2,0,0.1515,Low
45,No,Travel_Rarely,924,Research & Development,28,4,Life Sciences,3,Male,30,3,2,Laboratory Technician,4,Single,5593,10528,0,No,16,3,3,3,26,2,4,23,9,6,7,0,0.0487,Low
55,No,Travel_Rarely,283,Sales,6,3,Other,4,Female,88,3,3,Sales Executive,3,Married,9983,15297,2,No,21,3,4,1,15,3,2,1,1,1,1,0,0.0447,Low
34,No,Travel_Frequently,148,Research & Development,11,3,Life Sciences,4,Female,91,4,3,Manufacturing Director,4,Married,6147,6816,3,Yes,12,3,2,3,16,4,2,2,2,2,2,0,0.4627,Medium
27,No,Travel_Rarely,1256,Sales,8,1,Life Sciences,4,Male,32,2,2,Sales Executive,4,Married,5141,13382,1,No,16,3,4,0,14,5,3,8,8,8,6,0,0.0272,Low
47,Yes,Travel_Rarely,831,Research & Development,16,4,Life Sciences,4,Female,50,3,2,Healthcare Representative,2,Single,4689,20526,4,Yes,12,3,4,2,15,2,3,6,4,4,4,1,0.7819,High
35,Yes,Travel_Frequently,440,Research & Development,5,3,Life Sciences,2,Male,43,3,2,Research Scientist,4,Single,4982,11397,0,Yes,21,3,2,0,15,3,3,5,5,5,5,1,0.6428,High
30,No,Travel_Frequently,1148,Research & Development,8,2,Medical,4,Male,70,4,2,Healthcare Representative,3,Married,3909,5078,0,No,24,4,3,1,18,3,2,1,1,1,1,0,0.1408,Low
31,No,Travel_Frequently,533,Sales,3,3,Life Sciences,3,Male,49,2,3,Sales Executive,3,Married,9315,9314,5,No,13,3,4,0,40,3,4,25,17,14,14,0,0.1065,Low
35,No,Travel_Rarely,388,Research & Development,21,2,Technical Degree,1,Female,84,2,5,Research Director,4,Married,19823,15064,1,No,24,3,1,1,2,4,4,1,1,1,1,0,0.0775,Low
49,No,Travel_Rarely,1193,Sales,29,3,Medical,2,Female,89,3,3,Sales Executive,3,Single,6336,26006,0,No,21,3,2,0,22,3,4,3,3,0,3,0,0.081,Low
19,No,Travel_Frequently,1262,Research & Development,15,3,Medical,4,Male,93,4,1,Research Scientist,4,Divorced,2997,13201,0,No,13,3,2,0,14,2,3,3,3,3,3,0,0.278,Low
29,No,Travel_Rarely,1301,Sales,12,3,Life Sciences,2,Male,57,3,1,Sales Representative,4,Married,2906,21330,6,No,15,3,4,0,10,1,3,2,2,2,2,0,0.369,Medium
21,No,Travel_Rarely,1027,Research & Development,27,4,Marketing,3,Female,64,4,4,Manager,4,Married,12884,21997,1,No,13,3,3,1,12,3,4,2,2,2,2,0,0.0373,Low
39,No,Travel_Rarely,1408,Research & Development,26,1,Life Sciences,2,Male,63,3,1,Healthcare Representative,1,Married,1790,9465,4,Yes,16,4,3,1,12,2,4,8,8,8,0,0,0.3846,Medium
35,Yes,Travel_Frequently,147,Sales,27,3,Marketing,3,Male,42,3,1,Sales Executive,3,Married,3040,7785,1,No,15,3,3,0,10,3,4,10,10,10,10,1,0.5818,Medium
27,No,Travel_Rarely,958,Human Resources,1,3,Other,2,Female,65,2,1,Human Resources,2,Divorced,3025,22603,1,Yes,18,3,4,1,6,2,2,6,6,6,6,0,0.3063,Medium
60,No,Travel_Rarely,946,Research & Development,25,4,Medical,2,Male,64,3,1,Laboratory Technician,3,Divorced,3052,9603,6,No,21,3,3,0,23,2,4,13,6,13,13,0,0.2405,Low
23,No,Non-Travel,305,Sales,7,2,Medical,4,Male,78,3,4,Sales Executive,4,Single,11195,8126,0,No,16,3,3,1,17,2,3,8,2,0,8,0,0.0232,Low
35,Yes,Travel_Rarely,1417,Research & Development,15,2,Other,3,Male,86,3,1,Research Scientist,1,Divorced,3292,18585,0,Yes,19,3,1,1,9,5,3,4,4,3,4,1,0.7494,High
29,No,Travel_Rarely,524,Sales,7,2,Life Sciences,4,Female,56,4,2,Sales Executive,1,Married,5514,9922,0,Yes,24,3,4,2,7,1,1,6,6,6,6,0,0.1986,Low
